pdf,page,category,confidence,text
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",6,operation,0.2857,"VS 22 LOW - 6 GB GB PRELIMINARY PRESCRIPTIONS FIELD OF EMPLOYMENT: THE GENERATOR IS PROPER TO PRODUCE IN AUTONOMOUS WAY ELECTRIC ENERGY IN THE LIMITS OF TENSION AND POWER DECLARED BY THE MANUFACTURER. Consult this manual carefully before proceeding to the use and to any operation on the genset. FAILURE TO RESPECT THE SPECIFICATIONS CONTAINED IN THIS USE AND MAINTENANCE MANUAL WILL RESULT IN FORFEITURE OF THE GUARANTEE ON THE PRODUCT. This manual was drawn up by the manufacturer and forms an integral part of the genset, definition used as indicated in Directive 2006/42/EC; the information contained in the manual is addressed to all the persons involved in the operating life cycle of the generator, and it is necessary to inform both those who effectively carry out the different operations and those who coordinate the activities, to arrange the"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",6,safety,0.25,"necessary logistics and to regulate the access to the place where the generator will be installed and operating. This manual was drawn up by the manufacturer with the purpose of providing essential information and instructions for proper use and maintenance in conditions of safety. It constitutes an integral part of the generator equipment and must carefully be protected from any agent which may damage it for the entire life cycle of the generator. The manual must accompany the generator if transferred to another user or owner. It is opportune to remember that the supplied genset needs installation. The technician will release, at the end of the job, a declaration to the meaning of the normative applied. The manual defines the purpose for which the generator was constructed and contains all the information necessary to guarantee safe and proper use. Constant"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",6,safety,0.75,"observance of the instructions contained in this manual guarantees the safety of the operator, protection against damage to persons or things, operating economy and a longer life of the generator. The drawings are provided as example. Even if your genset differs from the illustrations contained in this manual in elements of little significance, i. e. the colour, the safety of the generator and the information provided are nevertheless guaranteed. To facilitate the consultation, it has been splitted into sections identifying the main concepts; consult the index for a quick look at the topics. Ongoing improvement and development of the product may have led to modifications to the generator which are not included in this publication. Whenever a problem concerning the generator or this publication arises, consult manufacturer for the latest information available."
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",7,spare_parts,0.375,- 7 VS 22 LOW GB GB 1 GENERAL INFORMATIONS 1.1 CONFORM USE The genset produces electricity within the voltage and power limits declared by the manufacturer. The machine is intended for marine use. Any other use outside the indicated field of use is forbidden. Installations are subject to approval by Mase Generators or by an installer authorised by Mase Generators. Arbitrary modifications to the machine are prohibited for safety reasons. Original spare parts must be used otherwise the conformity will be lost. All the operations requiring dismantling of special parts may only be carried out by technicians authorised by the local dealer or the manufacturer. Only Mase Generators technicians or personnel trained by Mase Generators have the necessary knowledge of the genset and the special equipment as well as the experience to carry out any operation in the most
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",7,safety,0.5333,"economical and reliable way. 1.2 RESIDUAL RISKS The genset has been designed taking into account the safety regulations set out by the EC directives and standards; nonetheless, the following residual risks remain: - injury caused by contact with hot parts during maintenance. - injury caused by electrocution during maintenance on the electric panel. - risks connected with long periods of exposure to the noise of the genset (with open casing). - risks due to contact with the genset lubricants during maintenance. - risks due to the fire hazard the fuel represents. Because of the typical intrinsic danger of the genset, you are reminded that, although the generator has been de- signed, manufactured and tested in accordance with the safety regulations, only proper and careful use can guarantee full safety; to this end, the various precautions to be taken during use"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",8,safety,0.8333,"VS 22 LOW - 8 GB GB SAFETY INSTRUCTIONS The electromechanics equipment, included the gensets, switch, electric command equipment and accessories, can cause damages to people and, if they are installed, used or maintained with not qualified operations, they can put in serious danger the life of people. To avoid accidents is necessary to know the potential risks and operate with caution. Read and follow all the precautions and the instructions for your safety. PRESERVE THESE INSTRUCTIONS. The manual shows several typologies of precautions and instructions for safety: Danger, Warning, Caution. 1.3 SAFETY SIMBOLS It indicates that particular attention must be paid in order to prevent serious risks which could lead to death or possible harm to the health of personnel. A condition which may occur during the lifetime of a product, system or plant considered at risk regarding damage"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",8,operation,0.3333,"to people, property, environment or economic loss. It indicates that particular attention must be paid in order to prevent serious consequences which could result in damaging to tangible goods, such as the resources or the product. Other symbols on this manual Particular important instructions It indicates components and not included parts in the base configuration. Carefully consult this manual before using or carrying out any operation on the generator. The routine maintenance jobs must be carried out by qualified personnel who have the appropriate equipment and protections. /tools"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",9,general_information,0.2,- 9 VS 22 LOW *% Cod. 42655 Cod. 42653 Cod. 42656 Cod. 42348 Cod. 42657 Cod. 41781 Cod. 41779 Cod. 41810 cod. 42118 Cod. 41763 6<0%2/6217+(*(16(7 &RG GB
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",10,safety,0.3333,"VS 22 LOW - 10 GB GB 1.5 SAFETY LABELS MEANING • These labels warn the user of any danger which may cause serious injuries. Carefully read the precautions described in this manual. • If the label detaches or becomes illegible, replace it with a new one which can be requested from an authorised Mase Generators dealer. Danger Symbols Description HOT PARTS Hot engine and exhaust system. They can cause severe injury or death. Do not work on genset untill it is allowed to cool. Exhaust system maintenance. Hot parts can cause severe injury or death. Do not touch hot engine parts. An engine becomes hot while running and exhaust system components become extremely hot. Hot coolant and steam. Before removing the pressure cap, stop the genset and allow it to cool. Then loosen the pressure cap to rilieve pressure."
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",10,operation,0.377,"ACCIDENTAL START Accidental start. Can cause severe injury or death. The generator may start from a remote control panel. In order to prevent accidental start, press emergency pushbutton or set the emergency switch to the (OFF) position. Disconnect the negative pole from the starter battery. Disabling genset. Accidental start can cause severe injury or death. Before working on the genset or connected equipment, disable the genset as follows: 1) Disconnect power from battery charger, if equipped. 2) Remove battery cables, remove negative (-) lead first. 3) Last, reconnect negative (-) lead when reconnecting battery. Follow these precautions to prevent start of genset by the remote start/stop switch or by the onboard switch. Hazardous voltage. Moving rotor. Can cause severe injury or death. Start genset only with all guards and electrical enclosures in place. MOVING PARTS Rotating parts. Can cause severe"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",10,safety,0.2353,"injury or death. Do not start genset without all guards, screens and covers are correctly in place. PREVENTING FIRE Can cause severe injury or death. - Make sure to use the correct diesel fuel. - Be sure to stop the engine before refueling. - If fuel spills, clean the spill perfectly. - Never bring liquids or flammable materials close to the generator during operation or immediately after turning it off. Wait for cooling time. - Check for fuel and oil leaks that could cause fire."
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",11,safety,0.5,"- 11 VS 22 LOW GB GB PREVENTING EXPLOSION Can cause severe injury or death. • Start the engine only from a starter switch without any load, with genset clutch in neutral position. The genset suddenly start can cause serious personal injury. • Keep the genset sufficiently away from a building and flammable materials during engine running. It may cause fires due to hot exhaust gas and engine. • Keep sparks, open flames or any other form of ignition (matches, cigarettes, etc.) away when fueling. Fire or an explosion may result. FIRE Can cause severe injury or death. In case of fire, do not open the casing Extinguish the fire and immediately unload the whole content of the portable extinguisher through the hole indicated by the label. EXHAUST SYSTEM Carbon monoxide. Carbon monoxide is a poisonous gas which is present"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",11,installation,0.4545,"in exhaust gases. Symptoms: Inhaling gas can cause severe nausea, fainting or death. The exhaust system must be hermetic and must be periodically inspected. Exhaust system inspection. In addiction to routine exhaust system inspection, install a carbon monoxide detector. Consult your boat manufacturer or dealer for approved detector installation. Inspect your detector before each genset use. Test the carbon monoxide detector function per the manufacturer’s instructions and keep it operating at all times. Exhaust system installation. In addiction to routine exhaust system inspection, install a carbon monoxide detector. Use the following precautions when installing and operating genset. Do not install exhaust outlet where exhaust can be drawn in throught portholes, vents or air conditioners. If the genset exhaust discarge outlet is near the waterline, water could enter the exhaust discharge outlet and close or restrict the flow of exhaust. Genset"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",11,safety,0.5,"use. Carbon monoxide is an odorless, colourless, tasteless, non irritating gas, able, if inhaled only also for brief time, to bring to death. Be especially careful if operating the genset when moored or anchored under calm conditions as gases may accumulate. If running the genset dockside, moor the boot so that the exhaust discharges on the lee side (the side sheltered from the wind). Alway be aware of others-making sure your exhaust is directed away from other boats and buildings. Danger Symbols Description"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",12,electrical_wiring,0.4902,"VS 22 LOW - 12 GB GB HAZARDOUS VOLTAGE / ELECTRICAL SHOCK Hazardous voltage. Moving motor. Can cause severe injury or death. Run genset only with all guards and electrical enclosures in place. Grounding generator set. Hazardous voltage can cause severe injury or death. Electro conduction is possible whenever electricity is present. Open main circuit breakers of all power source before servicing equipment. Configure the installation to electrically ground the generator set and electrical circuits when in use. Never contact electrical leads or appliances when standing in water or on wet ground, as the chance of electro conduction increases under such conditions. Disabling genset. Hazardous voltage can cause severe injury or death. To disable the genset from load, turn automatic switch of the line off or disconnect the output cables from the commutation switch and block the final part of"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",12,electrical_wiring,0.4737,"cables. Hazardous voltage to load during an ispection could cause severe damages to people and to equipment. Do not use the emergency button instead the automatic switch of the line. BATTERY Battery shortcircuit. Explosion can cause severe injury or death. Short circuits can cause severe damages to people and/or equipment. Always disconnect battery before doing installation or generator maintenances. The operator must take off all worn metal parts (necklaces, jewelry, watches, rings ...) before carrying maintenance operations out. Use the tools with insulated handles. Remove negative (-) lead first when disconnecting battery. Reconnect negative (-) lead last when reconnecting battery. Sufficient ventilation of the battery area. • Keep the area around the battery well ventilated, paying attention to keep sparks, open flame and any other form of ignition away. During engine running or charging battery, hydrogen gas is produced from"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",12,electrical_wiring,0.5294,"the battery and can be easily ignited. Do not touch the electrolitic battery acid! Battery acid. Sulfuric acid in batteries can cause severe injury or death. Sulfuric acid in battery can cause permanent damage to eyes and skin, burns and holes in clothing. Always wear splash-proof safety goggles when working near the battery. If battery acid is splashed in the eyes or skin, wash immediately the affected area with large quantity of clean water. Seek immediate medical aid in case of eyes contact. Do not intentionally make the battery spark by short-circuiting to check its remaining charge. It will cause fires. If the battery electrolyte frozen, recharge the battery after warming up to thaw it. Danger Symbols Description"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",13,fuel_system,0.5714,"- 13 VS 22 LOW GB GB Danger Symbols Description SAFETY CLOTHING Do not expose your skin to high pressure fuel spray Be careful so as not to bring your skin in contact with high pressure fuel spray from broken fuel injection pipe to penetrate your skin to cause inflamed. If exposing to the spray should occur, obtain prompt medical treatment. Beware of dirt from air blowing Wear protective equipment such as goggles to protect your eyes when blowing compressed air or steam. Dust or flying debris can hurt eyes."
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",14,technical_specs,0.4545,VS 22 LOW - 14 GB GB KVA Hz C os.Ø V V A A Degrees of protection IP ° C m Performance class year of manifacture Rated power factor Rated voltage declared frequency Mass Kg Class of insulation Temp. max of use Altitude max. of use Rated current Rated power 3F Code Serial n° 1 2 5 4 14 6 7 8 9 10 11 12 13 15 16 3 1.8 MARKING The generator identification plate carries all the identification data conforming to ISO 8528 and in accordance with the provisions for EC marking for those cases where required. Below is a facsimile of the identification plate fixed on the hull of each generator. 1.9 IDENTIFICATION OF THE GENERATOR UNIT 1 - Machine name 2 - Machine code 3 - Serial number 4 - Rated power 5 - Declared
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",14,technical_specs,0.32,"frequency 6 - Rated power factor 7 - Rated voltage 8 - Rated current 9 - Degrees of protection 10 - Class of insulation 11 - Temperature max. of use 12 - Altitude max. of use 13 - Performance class 14 - Year of manufacture 15 - Manufacturer - Adress 16 - Weight 1.6 REFERENCE DOCUMENTS The instructions for use provided with each generator are made up of a collection of documents of which this manual represents the General Part. The following documents are normally provided separately. • EC Declaration of Conformity. • Instructions for use and maintenance of the generator (this manual). • Control panel user manual. • Engine use and maintenance manual. • Warranty card. • Wiring diagram. 1.7 REFERENCE REGULATIONS AND LEGISLATIVE PROVISIONS The gensets, are conforming to the applicable EC directives, and they are provided of"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",14,electrical_wiring,0.2286,"a EC Declaration of Conformity. EN 12601: Reciprocating internal combustion engine driven gensets. 2006/42/EU Directive: Essential machine requirements for safety and health protection (“Machine” directive). 2014/35/EU Directive: Guarantee of safety of electrical material intended for use within certain voltage limits, (“Low Voltage” Directives). EN 60204.1: Electrical equipment of machines. The machine code number, the serial number and the year of construction must always be indicated when contacting the manufacturer for information, order of spare parts, etc.."
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",15,electrical_wiring,0.2963,"- 15 VS 22 LOW GB GB 2 361 24 4 30 5 5 28 1117 10 8 26 1923 20 25 1314 1216 159725 2 GENERAL CHARACTERISTICS This genset is designed for nautical application. The generator is composed of a Kubota engine coupled to a variable speed permanent magnet alternator. Inside the casing there is an AC/AC inverter with stabilized 230 V output voltage. The generator works at variable rpm, depending from the power required by the load. Both motor and inverter are liquid-cooled with suitable heat exchangers (see chapter on the machine's cooling diagram). Special attention is given to the develop of protection from external agents, safeguard of the engine and protection of electrical parts from overloads, high temperatures and short circuits, adopting automatic systems able to stop the genset in case of malfunctions. The genset is particularly"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",15,fuel_system,0.2373,quiet thanks to an insulated soundproof casing and an advanced soundproof system for exhaust gas. 2.1 COMPOSITION OF GENERATOR UNIT The genset is essentially composed by the following components. 1 - Fixed frame 2 - Top hatch 3 - Front hatch 4 - Control panel hatch 5 - Fixing brackets 6 - Emergency switch 7 - PMG alternator 8 - Inverter 9 - Electric actuator for rpm regulation 10 - Engine air filter 11 - Check / refill oil cap 12 - Oil filter 13 - Manual pump for oil suction 14 - Expansion vase 15 - Seawater pump 16 - Fuel pump 17 - Fuel filter 18 - Engine high temperature sensor 19 - High temperature sensor in mixing chamber 20 - Starting motor 21 - Battery connection lead (+) 22 - Battery connection lead (-) 23 - Battery
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",15,cooling_water,0.76,charger alternator 24 - Control dashboard 25 - Zinc anodes 26 - Water/water heat exchanger 27 - Air/water heat exchanger 28 - Contact heat exchanger 29 - Seawater intake connection 30 - Exhaust gas and seawater outlet (only exhaust gas in dry exhaust version) 31 - Fuel pipe connections 32 - Holes for electrical connections 33 - Engine control module 34 - Power clamp
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",17,technical_specs,0.5926,"- 17 VS 22 LOW GB GB 2.2 TECHNICAL CHARACTERISTICS TABLE Prime power (PRP) ISO 8528-1 It is the available maximum power for a variable power cycle that the generator group is able to disburse for a boundless number of hours for year among the interval of maintenance prescribed by the builder and under the environment conditions established by the norm ISO 3046/1. The middle power during a period of 24 hours, doesn't have to exceed 80% of the PRP. An overload of the 10% is admitted only for regulation. CONTINUOUS POWER (PRP) 2 20 kW POW ER FACTOR 1 RATED VOLTAGE 230 / 240 V RATED FREQUENCY 50 / 60 Hz PROTECTION INDEX IP 23 MAX SEA WATER TEMPERATURE 31 ° C MAX TILT OF USE (PERIODICAL 3 min) 30° MAX TILT OF USE (CONTINUOUS) 25° SEA W ATER"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",17,fuel_system,0.3061,"PUMP FLOW 28 – 7,39 L/min - gal/min L mm - in. DIMENSIONS W mm - in. H mm - in. WEIGHT kg - lbs TYPE 4 STROKE MANUFACTER YANMAR MODEL 4TNV88 DISPLACEMENT 2190 cm3 MAX POWER 33,5 - 24,64 HP - kW N° OF CYLINDERS 4 RATED SPEED 1850 - 2200 rpm SPEED CONTROL ELECTRONIC W ITH ACTUATOR INDUCTION SYSTEM NATURAL FUEL DIESEL INJECTION SYSTEM DIRECT FUEL FEEDING PUMPS ELECTRIC MAX PREVALENCE FUEL PUMP 700 - 2,29 mm - in. COOLING WATER / W ATER (INTERCOOLER W/A) LUBRIFICATION SYSTEM FORCED OIL SUMP CAPACITY 6,7 L ELECTRIC PLANT 12 V STARTING ELECTRIC STARTING MOTOR 12 - 80 V - Ah STARTING BATTERY 12 - 40 V - Ah BATTERY CHARGER 12 – 1,2 V – kW STOPPING SYSTEM SOLENOID TYPE PMG COOLING AIR / W ATER ISOLATION CLASS H CONTINUOS"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",17,technical_specs,0.5,"CURRENT A VOLTAGE STABILITY FREQUENCY STABILITY COOLING WATER ALTERNATOR INVERTER GENERAL FEATURES ENGINE 985 – 38,8 585 – 23 730 – 28,7 360 - 794 87 - 78 1% 1% NOISE LEVEL 50 dbA AT 7 mt"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",18,troubleshooting_repair,0.3125,"VS 22 LOW - 18 GB GB 3 INSTALLATION GENERAL NOTES FOR THE CORRECT INSTALLATION OF THE GENERATOR The generator, after the engines, is one of the most important systems on board because it provides the energy for the operation of all the auxiliaries on board, such as battery chargers, air conditioning, high voltage utilities and, through the batteries, all those low voltage. Therefore a good installation improves the reliability, performance and duration of the generator. Usually, the installation of the unit is below the floating level of the boat, therefore, to prevent the unit from filling with water, some precautions must be followed. First of all, it must be sure that there is access to all sides of the unit in order to carry out periodic and extraordinary maintenance, and that the frame and structure of the unit don’t"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",18,installation,0.3333,"overlap other structures or components, as they would cause noise. The base on which the assembly is fixed must be flat and stable.The groups are designed for easy fixing to the base using the supplied brackets that allow easy assembly. The arrangements for the external connection of cooling water, diesel and battery help simplifing the installation. The anti-siphon valve is used to protect the unit when it is installed below the waterline and also in the case of fast planing boats. In fact, in the latter, the pressure that develops in the hull pushes the water into the sea intake drowning the group. The anti-siphon therefore counteracts the pressure and prevents drowning. A good exhaust line guarantees less noise, less vibrations and fresh and less volatile gases; and then a greater comfort. The accumulation muffler collects the wet exhaust and"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",18,general_information,0.2,"raises it to an altitude above sea level.It must be installed very close to the unit and the pipe must be directed downwards from the generating set to the muffler.Water must not be stopped in the line with the engine off. Closer the muffler is, less noise you hear in the engine room.The muffler must have a size such that, when the unit is switched off, the water that collects in it must occupy about 30% of the volume. At this point we can exhaust to the side of the boat with a downwards exhaust line adding an eventual in-line silencer; or use a water / gas separator and then go to discharge the fumes on the side and the water in the hull. It is important that the exhaust pipes are not fixed to structures because, when the unit"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",18,safety,0.3333,"is switched on, they generate strong vibrations, and these vibrations could propagate along the boat structure, generating noise. We invite you to contact our specialized technicians for any other needs you may have. Generator may only be installed by qualified technicians. Malfunctioning due to improper installation may cause injury or death."
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",19,installation,0.4444,"- 19 VS 22 LOW GB GB 1 mm [in.] The generator may only be installed by qualified technicians. Malfunctioning due to improper installation may cause injury or death. 3.1 GENERATOR HOUSING CHARACTERISTICS - The generator must be installed in a sufficiently ventilated room able to assure the small amount of air required for engine combustion. - The room must be acoustically separated and isolated from the living quarters. - The generator must be positioned in such a way as to facilitate normal maintenance operations. - We recommend to install the generator in the propulsion engine room provided that it meets the above conditions. - The air must be clean. 3.2 LIFTING For lifting and handling operations, follow the instructions at page 3 of this manual. All the lifting operations must be carried out by personnel trained for that job,"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",19,installation,0.5,"such as truck drivers, crane drivers, slingers. The operator is considered responsible for using the correct machine slinging and lifting technique. 3.3 ANCHORING THE GENERATOR To fix the unit, prepare a suitable base to support weight vibrations of the unit. Then proceed with the drilling of the base following below instructions. 3.4 VENTILATION"
